adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2022-09-30,4,USD,BusinessSegments=RestOfAsiaPacificSegment;,,29375000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-09-30,4,USD,ProductOrService=Mac;,,29357000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=ForeignGovernmentDebtSecurities;,,10810000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,Geographical=OtherCountries;,,181887000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,AssetsCurrent,us-gaap/2024,2023-09-30,0,USD,,,143566000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetCashProvidedByUsedInOperatingActivities,us-gaap/2024,2023-09-30,4,USD,,,110543000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,,,91479000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2022-09-30,4,USD,BusinessSegments=AmericasSegment;,,169658000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetCashProvidedByUsedInFinancingActivities,us-gaap/2024,2023-09-30,4,USD,,,-108488000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MoneyMarketFunds;,,778000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherComprehensiveIncomeLossDerivativeInstrumentGainLossReclassificationAfterTax,0000320193-24-000123,2024-09-30,4,USD,,,1337000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,FinancialInstrument=Cash;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStockParOrStatedValuePerShare,us-gaap/2024,2024-09-30,0,USD,,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,SellingGeneralAndAdministrativeExpense,us-gaap/2024,2024-09-30,4,USD,,,26097000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,us-gaap/2024,2022-09-30,4,USD,,,37446000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommitmentsAndContingencies,us-gaap/2024,2023-09-30,0,USD,,,,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromRepaymentsOfCommercialPaper,us-gaap/2024,2024-09-30,4,USD,,,3960000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,428000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,ProductOrService=IPad;,,26694000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=RestOfAsiaPacificSegment;,,30658000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2024,2023-09-30,4,USD,,,-343000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInAccountsPayable,us-gaap/2024,2023-09-30,4,USD,,,-1889000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2024-09-30,4,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,1423000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RepaymentsOfLongTermDebt,us-gaap/2024,2023-09-30,4,USD,,,11151000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,481000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2021-09-30,0,USD,,,63090000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInOtherOperatingLiabilities,us-gaap/2024,2024-09-30,4,USD,,,15552000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NonoperatingIncomeExpense,us-gaap/2024,2022-09-30,4,USD,,,-334000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
