adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,AssetsCurrent,us-gaap/2024,2023-09-30,0,USD,,,143566000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MoneyMarketFunds;,,778000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,481000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2021-09-30,0,USD,,,63090000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareBasic,us-gaap/2024,2024-09-30,4,USD,,,6.11,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2024-09-30,0,USD,,,56950000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CommercialPaper;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,1125000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Assets,us-gaap/2024,2024-09-30,0,USD,,,364980000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Assets,us-gaap/2024,2023-09-30,0,USD,,,352583000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetIncomeLoss,us-gaap/2024,2023-09-30,4,USD,EquityComponents=RetainedEarnings;,,96995000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
