adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0001493152-24-051101,ComprehensiveIncomeNetOfTax,us-gaap/2024,2023-08-31,4,USD,,,-2873546.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetCashProvidedByUsedInInvestingActivities,us-gaap/2024,2024-08-31,4,USD,,,-1117390.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccretionExpenses,0001493152-24-051101,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2024,2024-08-31,4,USD,,,4991.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingLeaseRightOfUseAsset,us-gaap/2024,2024-08-31,0,USD,,,828674.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInDeferredRevenue,us-gaap/2024,2024-08-31,4,USD,,,111921.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DeferredIncome,us-gaap/2024,2023-10-31,0,USD,,,491251.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PaymentsToAcquireIntangibleAssets,us-gaap/2024,2024-08-31,4,USD,,,1112399.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingLeaseLiabilityNoncurrent,us-gaap/2024,2024-08-31,0,USD,,,815599.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DepreciationOnRightOfUseAsset,0001493152-24-051101,2024-08-31,4,USD,,,134508.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,LoansPayableCurrent,us-gaap/2024,2023-08-31,0,USD,,,430098.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ShareBasedCompensation,us-gaap/2024,2024-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=RetainedEarnings;,,-2846278.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,SharesIssuedAgainstEquityPurchaseAgreement,0001493152-24-051101,2024-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2024,2023-08-31,4,USD,EquityComponents=CommonStock;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CommonStockParOrStatedValuePerShare,us-gaap/2024,2023-08-31,0,USD,,,0.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AssetsCurrent,us-gaap/2024,2024-08-31,0,USD,,,893491.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DeferredRevenueCurrent,us-gaap/2024,2024-08-31,0,USD,,,111921.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,us-gaap/2024,2024-08-31,4,USD,EquityComponents=CommonStock;,,465680.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AmortizationOfIntangibleAssets,us-gaap/2024,2024-08-31,4,USD,,,616532.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
