adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0001493152-24-051101,ComprehensiveIncomeNetOfTax,us-gaap/2024,2023-08-31,4,USD,,,-2873546.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=RetainedEarnings;,,-2846278.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AssetsCurrent,us-gaap/2024,2024-08-31,0,USD,,,893491.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Liabilities,us-gaap/2024,2023-08-31,0,USD,,,2843005.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2024-08-31,4,USD,EquityComponents=RetainedEarnings;,,-4102659.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-08-31,4,USD,ProductOrService=SponsorshipRevenue;,,107741.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EarningsPerShareDiluted,us-gaap/2024,2023-08-31,4,USD,,,-0.45,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-08-31,4,USD,ProductOrService=OtherRevenue;,,320505.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2023-08-31,4,USD,,,-2809037.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-08-31,4,USD,ProductOrService=OtherRevenue;,,332448.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2024-08-31,4,USD,,,-4102659.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=AdditionalPaidInCapital;,,2922853.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PropertyPlantAndEquipmentNet,us-gaap/2024,2023-08-31,0,USD,,,242091.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2024-08-31,0,USD,EquityComponents=AdditionalPaidInCapital;,,2955944.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=CommonStock;,,4903031.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
