adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed,quarter
0001193125-14-024487,IntangibleAssetsNetExcludingGoodwill,us-gaap/2013,2013-12-31,0,USD,FiniteLivedIntangibleAssetsByMajorClass=DevelopedTechnologyRights;,,4005000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PropertyPlantAndEquipmentNet,us-gaap/2013,2013-09-30,0,USD,,,16597000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,RetainedEarningsAccumulatedDeficit,us-gaap/2013,2013-12-31,0,USD,,,109431000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=AssetBackedSecurities;,,16106000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USStatesAndPoliticalSubdivisions;,,4000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,EarningsPerShareBasic,us-gaap/2013,2013-12-31,1,USD,,,14.59,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,,,14259000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,us-gaap/2013,2012-12-31,1,USD,,,258000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,3797000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AccountsReceivableNetCurrent,us-gaap/2013,2013-09-30,0,USD,,,13102000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USTreasurySecurities;,,431000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,us-gaap/2013,2013-12-31,1,USD,,,213000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,EarningsPerShareDiluted,us-gaap/2013,2012-12-31,1,USD,,,13.81,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NetCashProvidedByUsedInFinancingActivities,us-gaap/2013,2012-12-31,1,USD,,,-4497000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=Americas;,,7266000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=BankTimeDeposits;,,1264000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=JP;,,4948000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
