value,abs_value,first_digit
4005000000.0,4005000000.0,4.0
16597000000.0,16597000000.0,1.0
109431000000.0,109431000000.0,1.0
16106000000.0,16106000000.0,1.0
4000000.0,4000000.0,4.0
14.59,14.59,1.0
14259000000.0,14259000000.0,1.0
258000000.0,258000000.0,2.0
3797000000.0,3797000000.0,3.0
13102000000.0,13102000000.0,1.0
431000000.0,431000000.0,4.0
213000000.0,213000000.0,2.0
13.81,13.81,1.0
-4497000000.0,4497000000.0,4.0
7266000000.0,7266000000.0,7.0
1264000000.0,1264000000.0,1.0
4948000000.0,4948000000.0,4.0
1114000000.0,1114000000.0,1.0
12464000000.0,12464000000.0,1.0
16154000000.0,16154000000.0,1.0
276000000.0,276000000.0,2.0
99000000.0,99000000.0,9.0
3.05,3.05,3.0
1098000000.0,1098000000.0,1.0
73286000000.0,73286000000.0,7.0
-172000000.0,172000000.0,1.0
15488000000.0,15488000000.0,1.0
14.5,14.5,1.0
17672000000.0,17672000000.0,1.0
-15103000000.0,15103000000.0,1.0
3802000000.0,3802000000.0,3.0
52000000.0,52000000.0,5.0
14077000000.0,14077000000.0,1.0
-7749000000.0,7749000000.0,7.0
6145000000.0,6145000000.0,6.0
6882000000.0,6882000000.0,6.0
3437000000.0,3437000000.0,3.0
7539000000.0,7539000000.0,7.0
161000000.0,161000000.0,1.0
947217000.0,947217000.0,9.0
20341000000.0,20341000000.0,2.0
8404000000.0,8404000000.0,8.0
1985000000.0,1985000000.0,1.0
629000000.0,629000000.0,6.0
50000000.0,50000000.0,5.0
2144000000.0,2144000000.0,2.0
225184000000.0,225184000000.0,2.0
1329000000.0,1329000000.0,1.0
2.65,2.65,2.0
246000000.0,246000000.0,2.0
138000000.0,138000000.0,1.0
80347000000.0,80347000000.0,8.0
3797000000.0,3797000000.0,3.0
15824000000.0,15824000000.0,1.0
1890000000.0,1890000000.0,1.0
494000000.0,494000000.0,4.0
-66000000.0,66000000.0,6.0
4409000000.0,4409000000.0,4.0
76000000.0,76000000.0,7.0
20434000000.0,20434000000.0,2.0
113000000.0,113000000.0,1.0
50125000000.0,50125000000.0,5.0
1021000000.0,1021000000.0,1.0
-72000000.0,72000000.0,7.0
5078000000.0,5078000000.0,5.0
1179000000.0,1179000000.0,1.0
285000000.0,285000000.0,2.0
110000000.0,110000000.0,1.0
4637000000.0,4637000000.0,4.0
462000000.0,462000000.0,4.0
2544000000.0,2544000000.0,2.0
54512000000.0,54512000000.0,5.0
4079000000.0,4079000000.0,4.0
17709000000.0,17709000000.0,1.0
7658000000.0,7658000000.0,7.0
20559000000.0,20559000000.0,2.0
896072000.0,896072000.0,8.0
10746000000.0,10746000000.0,1.0
19634000000.0,19634000000.0,1.0
1163000000.0,1163000000.0,1.0
16961000000.0,16961000000.0,1.0
681000000.0,681000000.0,6.0
4576000000.0,4576000000.0,4.0
7554000000.0,7554000000.0,7.0
236000000.0,236000000.0,2.0
225184000000.0,225184000000.0,2.0
13249000000.0,13249000000.0,1.0
6998000000.0,6998000000.0,6.0
901452000.0,901452000.0,9.0
22837000000.0,22837000000.0,2.0
2625000000.0,2625000000.0,2.0
4105000000.0,4105000000.0,4.0
106215000000.0,106215000000.0,1.0
1793000000.0,1793000000.0,1.0
1744000000.0,1744000000.0,1.0
6441000000.0,6441000000.0,6.0
99000000.0,99000000.0,9.0
236000000.0,236000000.0,2.0
177000000.0,177000000.0,1.0
1010000000.0,1010000000.0,1.0
3633000000.0,3633000000.0,3.0
2.65,2.65,2.0
358000000.0,358000000.0,3.0
3993000000.0,3993000000.0,3.0
1793000000.0,1793000000.0,1.0
1330000000.0,1330000000.0,1.0
21060000000.0,21060000000.0,2.0
2769000000.0,2769000000.0,2.0
53000000.0,53000000.0,5.0
20098000000.0,20098000000.0,2.0
3053000000.0,3053000000.0,3.0
37192000000.0,37192000000.0,3.0
534000000.0,534000000.0,5.0
21846000000.0,21846000000.0,2.0
165000000.0,165000000.0,1.0
21699000000.0,21699000000.0,2.0
-53000000.0,53000000.0,5.0
8574000000.0,8574000000.0,8.0
4179000000.0,4179000000.0,4.0
-244000000.0,244000000.0,2.0
8498000000.0,8498000000.0,8.0
-306000000.0,306000000.0,3.0
3453000000.0,3453000000.0,3.0
-413000000.0,413000000.0,4.0
892447000.0,892447000.0,8.0
19764000000.0,19764000000.0,1.0
83451000000.0,83451000000.0,8.0
1016000000.0,1016000000.0,1.0
13073000000.0,13073000000.0,1.0
106215000000.0,106215000000.0,1.0
11000000.0,11000000.0,1.0
668000000.0,668000000.0,6.0
13237000000.0,13237000000.0,1.0
-471000000.0,471000000.0,4.0
14200000000.0,14200000000.0,1.0
5029000000.0,5029000000.0,5.0
4383000000.0,4383000000.0,4.0
118131000000.0,118131000000.0,1.0
404000000.0,404000000.0,4.0
57594000000.0,57594000000.0,5.0
134000000.0,134000000.0,1.0
1335000000.0,1335000000.0,1.0
207000000000.0,207000000000.0,2.0
207000000000.0,207000000000.0,2.0
991000000.0,991000000.0,9.0
8357000000.0,8357000000.0,8.0
22670000000.0,22670000000.0,2.0
-105000000.0,105000000.0,1.0
1950000000.0,1950000000.0,1.0
4443000000.0,4443000000.0,4.0
11187000000.0,11187000000.0,1.0
13191000000.0,13191000000.0,1.0
2373000000.0,2373000000.0,2.0
3460000000.0,3460000000.0,3.0
-112000000.0,112000000.0,1.0
1835000000.0,1835000000.0,1.0
545000000.0,545000000.0,5.0
8191000000.0,8191000000.0,8.0
94000000.0,94000000.0,9.0
1800000000.0,1800000000.0,1.0
2122000000.0,2122000000.0,2.0
3459000000.0,3459000000.0,3.0
525000000.0,525000000.0,5.0
17463000000.0,17463000000.0,1.0
3802000000.0,3802000000.0,3.0
7435000000.0,7435000000.0,7.0
5408000000.0,5408000000.0,5.0
22485000000.0,22485000000.0,2.0
938916000.0,938916000.0,9.0
365000000.0,365000000.0,3.0
1122000000.0,1122000000.0,1.0
2174000000.0,2174000000.0,2.0
29588000000.0,29588000000.0,2.0
1611000000.0,1611000000.0,1.0
33452000000.0,33452000000.0,3.0
10998000000.0,10998000000.0,1.0
1195000000.0,1195000000.0,1.0
5146000000.0,5146000000.0,5.0
17210000000.0,17210000000.0,1.0
26634000000.0,26634000000.0,2.0
6830000000.0,6830000000.0,6.0
-53000000.0,53000000.0,5.0
7349000000.0,7349000000.0,7.0
-182000000.0,182000000.0,1.0
-26000000.0,26000000.0,2.0
-67000000.0,67000000.0,6.0
844000000.0,844000000.0,8.0
284000000.0,284000000.0,2.0
5080000000.0,5080000000.0,5.0
5091000000.0,5091000000.0,5.0
46532000000.0,46532000000.0,4.0
2379000000.0,2379000000.0,2.0
45000000.0,45000000.0,4.0
1764000000.0,1764000000.0,1.0
11.4,11.4,1.0
146000000.0,146000000.0,1.0
-119000000.0,119000000.0,1.0
3742000000.0,3742000000.0,3.0
899213000.0,899213000.0,8.0
13856000000.0,13856000000.0,1.0
16322000000.0,16322000000.0,1.0
26287000000.0,26287000000.0,2.0
-13521000000.0,13521000000.0,1.0
1588000000.0,1588000000.0,1.0
-42000000.0,42000000.0,4.0
129684000000.0,129684000000.0,1.0
319000000.0,319000000.0,3.0
224000000.0,224000000.0,2.0
2236000000.0,2236000000.0,2.0
8077000000.0,8077000000.0,8.0
1557000000.0,1557000000.0,1.0
16960000000.0,16960000000.0,1.0
8000000.0,8000000.0,8.0
283000000.0,283000000.0,2.0
2840000000.0,2840000000.0,2.0
13.93,13.93,1.0
59000000.0,59000000.0,5.0
13078000000.0,13078000000.0,1.0
43658000000.0,43658000000.0,4.0
109000000.0,109000000.0,1.0
280000000.0,280000000.0,2.0
5162000000.0,5162000000.0,5.0
-191000000.0,191000000.0,1.0
3.05,3.05,3.0
3850000000.0,3850000000.0,3.0
53769000000.0,53769000000.0,5.0
8844000000.0,8844000000.0,8.0
3387000000.0,3387000000.0,3.0
-67000000.0,67000000.0,6.0
899213000.0,899213000.0,8.0
22367000000.0,22367000000.0,2.0
2236000000.0,2236000000.0,2.0
1253000000.0,1253000000.0,1.0
23002000000.0,23002000000.0,2.0
3761000000.0,3761000000.0,3.0
664000000.0,664000000.0,6.0
104256000000.0,104256000000.0,1.0
313000000.0,313000000.0,3.0
276000000.0,276000000.0,2.0
289000000.0,289000000.0,2.0
118131000000.0,118131000000.0,1.0
2000000.0,2000000.0,2.0
23426000000.0,23426000000.0,2.0
1368000000.0,1368000000.0,1.0
13072000000.0,13072000000.0,1.0
123549000000.0,123549000000.0,1.0
892447000.0,892447000.0,8.0
20208000000.0,20208000000.0,2.0
1577000000.0,1577000000.0,1.0
5556000000.0,5556000000.0,5.0
2260000000.0,2260000000.0,2.0
2022000000.0,2022000000.0,2.0
35748000000.0,35748000000.0,3.0
-175000000.0,175000000.0,1.0
95500000000.0,95500000000.0,9.0
3140000000.0,3140000000.0,3.0
30302000000.0,30302000000.0,3.0
3071000000.0,3071000000.0,3.0
4594000000.0,4594000000.0,4.0
2493000000.0,2493000000.0,2.0
8705000000.0,8705000000.0,8.0
5261000000.0,5261000000.0,5.0
668000000.0,668000000.0,6.0
285000000.0,285000000.0,2.0
85000000.0,85000000.0,8.0
19454000000.0,19454000000.0,1.0
-5000000.0,5000000.0,5.0
2317000000.0,2317000000.0,2.0
3412000000.0,3412000000.0,3.0
29999000000.0,29999000000.0,2.0
48397000000.0,48397000000.0,4.0
1800000000.0,1800000000.0,1.0
3854000000.0,3854000000.0,3.0
3.05,3.05,3.0
809000000.0,809000000.0,8.0
18133000000.0,18133000000.0,1.0
99000000.0,99000000.0,9.0
26000000.0,26000000.0,2.0
81163000000.0,81163000000.0,8.0
8329000000.0,8329000000.0,8.0
4984000000.0,4984000000.0,4.0
3753000000.0,3753000000.0,3.0
559000000.0,559000000.0,5.0
4031000000.0,4031000000.0,4.0
603000000.0,603000000.0,6.0
239000000.0,239000000.0,2.0
163000000.0,163000000.0,1.0
110000000.0,110000000.0,1.0
890490000.0,890490000.0,8.0
1541000000.0,1541000000.0,1.0
939273000.0,939273000.0,9.0
3412000000.0,3412000000.0,3.0
15120000000.0,15120000000.0,1.0
16960000000.0,16960000000.0,1.0
2.65,2.65,2.0
6664000000.0,6664000000.0,6.0
97000000.0,97000000.0,9.0
16597000000.0,16597000000.0,1.0
1120000000.0,1120000000.0,1.0
16962000000.0,16962000000.0,1.0
3802000000.0,3802000000.0,3.0
-19000000.0,19000000.0,1.0
22401000000.0,22401000000.0,2.0
7155000000.0,7155000000.0,7.0
88000000.0,88000000.0,8.0
3164000000.0,3164000000.0,3.0
-14000000.0,14000000.0,1.0
20208000000.0,20208000000.0,2.0
85810000000.0,85810000000.0,8.0
10230000000.0,10230000000.0,1.0
5.3,5.3,5.0
23000000000.0,23000000000.0,2.0
1114000000.0,1114000000.0,1.0
946035000.0,946035000.0,9.0
110000000.0,110000000.0,1.0
879528000.0,879528000.0,8.0
275000000.0,275000000.0,2.0
4258000000.0,4258000000.0,4.0
1555000000.0,1555000000.0,1.0
249000000.0,249000000.0,2.0
5080000000.0,5080000000.0,5.0
163000000.0,163000000.0,1.0
3135000000.0,3135000000.0,3.0
109239000000.0,109239000000.0,1.0
1350000000.0,1350000000.0,1.0
8077000000.0,8077000000.0,8.0
34408000000.0,34408000000.0,3.0
3280000000.0,3280000000.0,3.0
83451000000.0,83451000000.0,8.0
3.05,3.05,3.0
10948000000.0,10948000000.0,1.0
1835000000.0,1835000000.0,1.0
3203000000.0,3203000000.0,3.0
1735000000.0,1735000000.0,1.0
3367000000.0,3367000000.0,3.0
-2375000000.0,2375000000.0,2.0
9173000000.0,9173000000.0,9.0
23090000000.0,23090000000.0,2.0
23.9,23.9,2.0
3449000000.0,3449000000.0,3.0
3595000000.0,3595000000.0,3.0
13000000.0,13000000.0,1.0
471000000.0,471000000.0,4.0
7578000000.0,7578000000.0,7.0
2055000000.0,2055000000.0,2.0
65000000.0,65000000.0,6.0
22476000000.0,22476000000.0,2.0
19764000000.0,19764000000.0,1.0
