value,abs_value,first_digit
4005000000.0,4005000000.0,4
16597000000.0,16597000000.0,1
109431000000.0,109431000000.0,1
16106000000.0,16106000000.0,1
4000000.0,4000000.0,4
14.59,14.59,1
14259000000.0,14259000000.0,1
258000000.0,258000000.0,2
3797000000.0,3797000000.0,3
13102000000.0,13102000000.0,1
431000000.0,431000000.0,4
213000000.0,213000000.0,2
13.81,13.81,1
-4497000000.0,4497000000.0,4
7266000000.0,7266000000.0,7
1264000000.0,1264000000.0,1
4948000000.0,4948000000.0,4
1114000000.0,1114000000.0,1
12464000000.0,12464000000.0,1
16154000000.0,16154000000.0,1
276000000.0,276000000.0,2
99000000.0,99000000.0,9
3.05,3.05,3
1098000000.0,1098000000.0,1
73286000000.0,73286000000.0,7
-172000000.0,172000000.0,1
15488000000.0,15488000000.0,1
14.5,14.5,1
17672000000.0,17672000000.0,1
-15103000000.0,15103000000.0,1
3802000000.0,3802000000.0,3
52000000.0,52000000.0,5
14077000000.0,14077000000.0,1
-7749000000.0,7749000000.0,7
6145000000.0,6145000000.0,6
6882000000.0,6882000000.0,6
3437000000.0,3437000000.0,3
7539000000.0,7539000000.0,7
161000000.0,161000000.0,1
947217000.0,947217000.0,9
20341000000.0,20341000000.0,2
8404000000.0,8404000000.0,8
1985000000.0,1985000000.0,1
629000000.0,629000000.0,6
50000000.0,50000000.0,5
2144000000.0,2144000000.0,2
225184000000.0,225184000000.0,2
1329000000.0,1329000000.0,1
2.65,2.65,2
246000000.0,246000000.0,2
138000000.0,138000000.0,1
80347000000.0,80347000000.0,8
3797000000.0,3797000000.0,3
15824000000.0,15824000000.0,1
1890000000.0,1890000000.0,1
494000000.0,494000000.0,4
-66000000.0,66000000.0,6
4409000000.0,4409000000.0,4
76000000.0,76000000.0,7
20434000000.0,20434000000.0,2
113000000.0,113000000.0,1
50125000000.0,50125000000.0,5
1021000000.0,1021000000.0,1
-72000000.0,72000000.0,7
5078000000.0,5078000000.0,5
1179000000.0,1179000000.0,1
285000000.0,285000000.0,2
110000000.0,110000000.0,1
4637000000.0,4637000000.0,4
462000000.0,462000000.0,4
2544000000.0,2544000000.0,2
54512000000.0,54512000000.0,5
4079000000.0,4079000000.0,4
17709000000.0,17709000000.0,1
7658000000.0,7658000000.0,7
20559000000.0,20559000000.0,2
896072000.0,896072000.0,8
10746000000.0,10746000000.0,1
19634000000.0,19634000000.0,1
1163000000.0,1163000000.0,1
16961000000.0,16961000000.0,1
681000000.0,681000000.0,6
4576000000.0,4576000000.0,4
7554000000.0,7554000000.0,7
236000000.0,236000000.0,2
225184000000.0,225184000000.0,2
13249000000.0,13249000000.0,1
6998000000.0,6998000000.0,6
901452000.0,901452000.0,9
22837000000.0,22837000000.0,2
2625000000.0,2625000000.0,2
4105000000.0,4105000000.0,4
106215000000.0,106215000000.0,1
1793000000.0,1793000000.0,1
1744000000.0,1744000000.0,1
6441000000.0,6441000000.0,6
99000000.0,99000000.0,9
236000000.0,236000000.0,2
177000000.0,177000000.0,1
1010000000.0,1010000000.0,1
