cik,company_name,year_2014_chi_square,year_2014_p_value,year_2014_MAD,year_2014_KS_test,year_2015_chi_square,year_2015_p_value,year_2015_MAD,year_2015_KS_test,year_2016_chi_square,year_2016_p_value,year_2016_MAD,year_2016_KS_test,year_2017_chi_square,year_2017_p_value,year_2017_MAD,year_2017_KS_test,year_2018_chi_square,year_2018_p_value,year_2018_MAD,year_2018_KS_test,year_2019_chi_square,year_2019_p_value,year_2019_MAD,year_2019_KS_test,year_2020_chi_square,year_2020_p_value,year_2020_MAD,year_2020_KS_test,year_2021_chi_square,year_2021_p_value,year_2021_MAD,year_2021_KS_test,year_2022_chi_square,year_2022_p_value,year_2022_MAD,year_2022_KS_test,year_2023_chi_square,year_2023_p_value,year_2023_MAD,year_2023_KS_test,year_2024_chi_square,year_2024_p_value,year_2024_MAD,year_2024_KS_test
0000059558,LINCOLN NATIONAL CORP,84.3213,0.0,1.9719,0.9148,83.628,0.0,1.7786,0.9222,83.1776,0.0,1.9012,0.9056,91.9588,0.0,2.0654,0.8956,55.622,0.0,1.7152,0.8964,33.227,0.0001,1.3194,0.8937,22.3072,0.0044,1.1324,0.9075,43.4731,0.0,1.4191,0.9115,38.0929,0.0,1.3016,0.9024,61.9212,0.0,0.6508,0.9062,43.3967,0.0,0.9302,0.906
0000311094,WESTAMERICA BANCORPORATION,46.1619,0.0,1.3117,0.9092,23.6554,0.0026,0.7469,0.9014,44.2279,0.0,1.2835,0.905,48.2709,0.0,1.4164,0.9086,86.0327,0.0,1.8829,0.9219,93.8885,0.0,1.8633,0.918,44.0078,0.0,1.0944,0.9132,37.8394,0.0,1.1981,0.9111,51.1698,0.0,1.3662,0.8978,68.5851,0.0,1.6824,0.9058,48.9576,0.0,1.5344,0.9159
0000107687,WINNEBAGO INDUSTRIES INC,28.3635,0.0004,1.338,0.9027,34.5144,0.0,1.5573,0.8995,31.6819,0.0001,1.5546,0.9051,28.5705,0.0004,1.255,0.8965,17.6709,0.0238,1.1256,0.9016,48.4737,0.0,1.6551,0.913,41.7601,0.0,1.497,0.9076,20.5356,0.0085,1.1564,0.8968,25.996,0.0011,1.0367,0.9112,38.0863,0.0,1.4653,0.9201,39.1883,0.0,1.6359,0.9191
0001374310,"Cboe Global Markets, Inc.",59.0607,0.0,1.789,0.8743,34.0475,0.0,1.1139,0.8953,44.4885,0.0,1.4381,0.9094,35.0232,0.0,1.1376,0.9053,14.4199,0.0715,0.7343,0.8934,34.1325,0.0,0.9279,0.9037,54.7375,0.0,1.324,0.9102,78.6948,0.0,1.9056,0.9129,39.4025,0.0,1.1506,0.9155,35.4421,0.0,0.9781,0.9101,19.2591,0.0135,0.7763,0.9028
0000896622,"APTARGROUP, INC.",42.26,0.0,1.3838,0.9169,20.0269,0.0102,1.0245,0.9122,31.053,0.0001,0.9102,0.9211,49.6713,0.0,1.3914,0.9167,83.8132,0.0,1.4711,0.9116,122.7346,0.0,1.7682,0.9147,78.3567,0.0,1.6474,0.9095,70.0609,0.0,1.6993,0.9043,30.9228,0.0001,1.1426,0.8897,41.8229,0.0,1.2717,0.8861,28.0841,0.0005,1.023,0.9015
0001591698,Paylocity Holding Corp,63.1697,0.0,2.3281,0.8997,67.1459,0.0,2.4891,0.9092,114.2558,0.0,2.6466,0.909,97.658,0.0,2.5659,0.9037,87.2246,0.0,2.0342,0.9002,83.8937,0.0,1.831,0.9099,95.5581,0.0,2.0139,0.9131,85.1793,0.0,1.6818,0.919,85.719,0.0,2.0733,0.915,47.1937,0.0,1.6022,0.9165,76.6822,0.0,2.1187,0.9003
0001158172,"COMSCORE, INC.",84.0392,0.0,2.052,0.8937,86.6089,0.0,1.92,0.8767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7531,0.0,1.2767,0.9008,71.6406,0.0,1.4909,0.9111,77.832,0.0,1.4511,0.9217,64.4957,0.0,1.4351,0.9029,70.2951,0.0,1.3983,0.872,124.3129,0.0,1.7832,0.8605,58.5648,0.0,1.6995,0.9175
0001298946,DiamondRock Hospitality Co,26.4773,0.0009,1.5964,0.9124,34.1517,0.0,1.8654,0.9164,27.0465,0.0007,1.4783,0.9119,53.5996,0.0,2.3186,0.8849,74.1984,0.0,2.6525,0.875,145.2252,0.0,2.7456,0.9021,56.265,0.0,2.1273,0.9112,69.9414,0.0,2.0271,0.9211,60.2732,0.0,1.7913,0.9168,70.1757,0.0,2.0565,0.9036,133.3537,0.0,2.7658,0.9008
0000729986,UNITED BANKSHARES INC/WV,96.9854,0.0,1.7463,0.9061,129.1964,0.0,1.9175,0.8706,160.5049,0.0,1.9897,0.8653,70.6305,0.0,1.7445,0.8952,50.7639,0.0,1.3283,0.895,81.3876,0.0,1.6562,0.8973,83.991,0.0,1.5735,0.9122,101.4021,0.0,1.848,0.9142,101.1855,0.0,1.6998,0.9259,56.1053,0.0,1.1819,0.9112,53.8432,0.0,1.0366,0.9043
0001567683,"Clearway Energy, Inc.",16.3006,0.0383,0.9776,0.9158,54.9124,0.0,1.0966,0.9216,38.7717,0.0,1.2248,0.9193,27.9467,0.0005,0.8487,0.9135,15.2448,0.0546,0.7168,0.9092,24.5571,0.0018,0.8398,0.9191,17.0552,0.0295,0.6663,0.9106,54.5847,0.0,1.1716,0.9144,31.381,0.0001,1.0492,0.9097,22.1686,0.0046,0.7662,0.9038,25.8851,0.0011,0.9617,0.9047
