cik,company_name,symbol,original_security
0000059558,LINCOLN NATIONAL CORP,LNC,Lincoln Financial
0000311094,WESTAMERICA BANCORPORATION,WABC,Westamerica Bank
0000107687,WINNEBAGO INDUSTRIES INC,WGO,"Winnebago Industries, Inc."
0001374310,"Cboe Global Markets, Inc.",CBOE,Cboe Global Markets
0000896622,"APTARGROUP, INC.",ATR,AptarGroup
0001591698,Paylocity Holding Corp,PCTY,Paylocity
0001158172,"COMSCORE, INC.",SCOR,comScore
0001298946,DiamondRock Hospitality Co,DRH,DiamondRock Hospitality Company
0000729986,UNITED BANKSHARES INC/WV,UBSI,United Bankshares
0001567683,"Clearway Energy, Inc.",CWEN,"Clearway, Inc."
0000200406,JOHNSON & JOHNSON,JNJ,Johnson & Johnson
0000771497,ABM INDUSTRIES INC /DE/,ABM,"ABM Industries, Inc."
0000935036,"ACI WORLDWIDE, INC.",ACIW,ACI Worldwide
0001561550,"Datadog, Inc.",DDOG,Datadog
0001084048,"ZIFF DAVIS, INC.",ZD,Ziff Davis
0001364250,Douglas Emmett Inc,DEI,Douglas Emmett
0001413329,Philip Morris International Inc.,PM,Philip Morris International
0000895417,EQUITY LIFESTYLE PROPERTIES INC,ELS,Equity Lifestyle Properties
0000016058,CACI INTERNATIONAL INC /DE/,CACI,CACI International
0001506307,"KINDER MORGAN, INC.",KMI,Kinder Morgan
0000034088,EXXON MOBIL CORP,XOM,ExxonMobil
0000074303,OLIN Corp,OLN,Olin Corporation
0001596532,"Arista Networks, Inc.",ANET,Arista Networks
0000912728,FORWARD AIR CORP,FWRD,Forward Air Corp.
0000874238,"STERLING INFRASTRUCTURE, INC.",STRL,"Sterling Infrastructure, Inc."
0000856982,MERIT MEDICAL SYSTEMS INC,MMSI,"Merit Medical Systems, Inc."
0001025378,W. P. Carey Inc.,WPC,W. P. Carey
0001046025,HERITAGE FINANCIAL CORP /WA/,HFWA,Heritage Financial Corporation
0000886346,KADANT INC,KAI,Kadant Inc.
0000014930,BRUNSWICK CORP,BC,Brunswick
0000717423,MURPHY OIL CORP,MUR,Murphy Oil
0001705696,VICI PROPERTIES INC.,VICI,Vici Properties
0001612630,JOINT Corp,JYNT,The Joint Corp.
0001571123,Science Applications International Corp,SAIC,Science Applications Intl Corp
