cik,company_name,sic_code,sic_division,division_name,sic_major_group,major_group_name,sic_industry_group
0001090872,"AGILENT TECHNOLOGIES, INC.",3826,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0000936395,CIENA CORP,3661,D,Manufacturing,36,Electronic & Electrical Equipment,366
0000107687,WINNEBAGO INDUSTRIES INC,3716,D,Manufacturing,37,Transportation Equipment,371
0001048911,FEDEX CORP,4513,E,Transportation & Utilities,45,Transportation by Air,451
0000771497,ABM INDUSTRIES INC /DE/,7340,I,Services,73,Business Services,734
0001645590,HEWLETT PACKARD ENTERPRISE CO,3570,D,Manufacturing,35,Industrial Machinery & Equipment,357
0002011286,"AMENTUM HOLDINGS, INC.",7389,I,Services,73,Business Services,738
0000006951,APPLIED MATERIALS INC /DE,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000885245,BUCKLE INC,5651,G,Retail Trade,56,Apparel & Accessory Stores,565
0000014707,CALERES INC,3140,D,Manufacturing,31,Leather & Leather Products,314
0001964738,SOLVENTUM CORP,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001639300,"OLLIE'S BARGAIN OUTLET HOLDINGS, INC.",5331,G,Retail Trade,53,General Merchandise Stores,533
0001525769,"DAVE & BUSTER'S ENTERTAINMENT, INC.",5812,G,Retail Trade,58,Eating & Drinking Places,581
0000821002,G III APPAREL GROUP LTD /DE/,2300,D,Manufacturing,23,Apparel & Other Finished Products,230
0001817358,"ACADEMY SPORTS & OUTDOORS, INC.",5940,G,Retail Trade,59,Miscellaneous Retail,594
0001341439,ORACLE CORP,7372,I,Services,73,Business Services,737
0001428336,"HEALTHEQUITY, INC.",7389,I,Services,73,Business Services,738
0000711404,"COOPER COMPANIES, INC.",3851,D,Manufacturing,38,Measuring & Analyzing Instruments,385
0000029534,DOLLAR GENERAL CORP,5331,G,Retail Trade,53,General Merchandise Stores,533
0001397187,LULULEMON ATHLETICA INC.,2300,D,Manufacturing,23,Apparel & Other Finished Products,230
0001571123,SCIENCE APPLICATIONS INTERNATIONAL CORP,7373,I,Services,73,Business Services,737
0001368622,AEROVIRONMENT INC,3721,D,Manufacturing,37,Transportation Equipment,372
0000069891,NATIONAL BEVERAGE CORP,2086,D,Manufacturing,20,Food & Kindred Products,208
0000016732,CAMPBELL'S CO,2000,D,Manufacturing,20,Food & Kindred Products,200
0001067294,"CRACKER BARREL OLD COUNTRY STORE, INC",5812,G,Retail Trade,58,Eating & Drinking Places,581
0000088941,SEMTECH CORP,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000887733,CENTRAL GARDEN & PET CO,5190,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,519
0001490906,"CAPITOL FEDERAL FINANCIAL, INC.",6035,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),603
0000060667,LOWES COMPANIES INC,5211,G,Retail Trade,52,Building Materials & Hardware,521
0000701985,"BATH & BODY WORKS, INC.",5990,G,Retail Trade,59,Miscellaneous Retail,599
0000794619,AMERICAN WOODMARK CORP,2430,D,Manufacturing,24,Lumber & Wood Products,243
0000900075,COPART INC,5500,G,Retail Trade,55,Automotive Dealers & Gas Stations,550
0000356309,NEW JERSEY RESOURCES CORP,4924,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001002047,"NETAPP, INC.",3572,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000052988,JACOBS SOLUTIONS INC.,1600,C,Construction,16,Heavy Construction,160
0000854775,DIGI INTERNATIONAL INC,3576,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000063296,MATTHEWS INTERNATIONAL CORP,3360,D,Manufacturing,33,Primary Metal Industries,336
0000719955,WILLIAMS SONOMA INC,5700,G,Retail Trade,57,Home Furniture & Equipment Stores,570
0001674910,VALVOLINE INC,2990,D,Manufacturing,29,Petroleum Refining & Related,299
0001319161,WARNER MUSIC GROUP CORP.,7900,I,Services,79,Amusement & Recreation Services,790
0000002969,"AIR PRODUCTS & CHEMICALS, INC.",2810,D,Manufacturing,28,Chemicals & Allied Products,281
0000807882,JACK IN THE BOX INC,5812,G,Retail Trade,58,Eating & Drinking Places,581
0001327567,PALO ALTO NETWORKS INC,3577,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000067215,DYCOM INDUSTRIES INC,1623,C,Construction,16,Heavy Construction,162
0001126956,SPIRE INC,4924,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001045810,NVIDIA CORP,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000080420,POWELL INDUSTRIES INC,3613,D,Manufacturing,36,Electronic & Electrical Equipment,361
0000829224,STARBUCKS CORP,5810,G,Retail Trade,58,Eating & Drinking Places,581
0000936528,WAFD INC,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000833444,JOHNSON CONTROLS INTERNATIONAL PLC,3585,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000868857,AECOM,8711,I,Services,87,Engineering & Management Services,871
0001417398,"HILLENBRAND, INC.",3990,D,Manufacturing,39,Miscellaneous Manufacturing,399
0001772016,"BELLRING BRANDS, INC.",2000,D,Manufacturing,20,Food & Kindred Products,200
0001670541,ADIENT PLC,3714,D,Manufacturing,37,Transportation Equipment,371
0001744489,WALT DISNEY CO,7990,I,Services,79,Amusement & Recreation Services,799
0000834365,BIOLIFE SOLUTIONS INC,3845,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001295810,"SUNSTONE HOTEL INVESTORS, INC.",7011,I,Services,70,Hotels & Lodging Places,701
0001661181,ORGANOGENESIS HOLDINGS INC.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000714310,VALLEY NATIONAL BANCORP,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000100493,"TYSON FOODS, INC.",2015,D,Manufacturing,20,Food & Kindred Products,201
0000923796,GEO GROUP INC,1520,C,Construction,15,Building Construction,152
0001507605,"MARA HOLDINGS, INC.",6199,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,619
0001335258,"LIVE NATION ENTERTAINMENT, INC.",7900,I,Services,79,Amusement & Recreation Services,790
0001158172,"COMSCORE, INC.",7389,I,Services,73,Business Services,738
0001287865,MEDICAL PROPERTIES TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000920371,"SIMPSON MANUFACTURING CO., INC.",3420,D,Manufacturing,34,Fabricated Metal Products,342
0001389050,"ARCHROCK, INC.",4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0000032604,EMERSON ELECTRIC CO,3600,D,Manufacturing,36,Electronic & Electrical Equipment,360
0001635088,ROIVANT SCIENCES LTD.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000883984,ICU MEDICAL INC/DE,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001803696,ADEIA INC.,4841,E,Transportation & Utilities,48,Communications,484
0000712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000038777,FRANKLIN RESOURCES INC,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000311094,WESTAMERICA BANCORPORATION,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001175454,"CORPAY, INC.",7389,I,Services,73,Business Services,738
0001612630,JOINT CORP,6794,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001069183,"AXON ENTERPRISE, INC.",3480,D,Manufacturing,34,Fabricated Metal Products,348
