cik,company_name,year,sic_code,sector_name,company_MAD,sector_median_MAD,sector_mean_MAD,sector_std_MAD,z_score_vs_sector,percentile_in_sector,deviation_from_median,is_outlier,is_extreme_outlier,sector_company_count,sector_rank
0000059558,LINCOLN NATIONAL CORP,2014,6311,Insurance Carriers,1.9719,0.9344,1.0617,0.4754,1.9148,97.22,1.0375,False,False,7,7
0000059558,LINCOLN NATIONAL CORP,2015,6311,Insurance Carriers,1.7786,1.0524,1.0516,0.3588,2.0261,97.86,0.7262,True,False,7,7
0000059558,LINCOLN NATIONAL CORP,2016,6311,Insurance Carriers,1.9012,1.1,1.0911,0.4131,1.9613,97.51,0.8012,False,False,7,7
0000059558,LINCOLN NATIONAL CORP,2017,6311,Insurance Carriers,2.0654,1.019,1.2305,0.4972,1.679,95.34,1.0464,False,False,8,7
0000059558,LINCOLN NATIONAL CORP,2018,6311,Insurance Carriers,1.7152,1.047,1.2237,0.3853,1.2756,89.9,0.6682,False,False,8,7
0000059558,LINCOLN NATIONAL CORP,2019,6311,Insurance Carriers,1.3194,0.9431,1.0763,0.4092,0.594,72.38,0.3763,False,False,9,8
0000059558,LINCOLN NATIONAL CORP,2020,6311,Insurance Carriers,1.1324,1.1318,1.1348,0.2304,-0.0102,49.59,0.0006,False,False,9,6
0000059558,LINCOLN NATIONAL CORP,2021,6311,Insurance Carriers,1.4191,1.2386,1.1457,0.3037,0.9,81.59,0.1805,False,False,10,9
0000059558,LINCOLN NATIONAL CORP,2022,6311,Insurance Carriers,1.3016,1.1657,1.0807,0.2689,0.8214,79.43,0.1359,False,False,10,9
0000059558,LINCOLN NATIONAL CORP,2023,6311,Insurance Carriers,0.6508,0.8348,0.9658,0.4156,-0.7581,22.42,-0.1839,False,False,10,3
0000059558,LINCOLN NATIONAL CORP,2024,6311,Insurance Carriers,0.9302,0.9762,1.0935,0.5166,-0.3161,37.6,-0.0461,False,False,10,4
0000311094,WESTAMERICA BANCORPORATION,2014,6021,Depository Institutions (Banks),1.3117,1.1132,1.1436,0.3362,0.5,69.15,0.1985,False,False,28,20
0000311094,WESTAMERICA BANCORPORATION,2015,6021,Depository Institutions (Banks),0.7469,1.1838,1.2697,0.5379,-0.9719,16.55,-0.4369,False,False,28,5
0000311094,WESTAMERICA BANCORPORATION,2016,6021,Depository Institutions (Banks),1.2835,1.3085,1.2589,0.4684,0.0524,52.09,-0.025,False,False,28,14
0000311094,WESTAMERICA BANCORPORATION,2017,6021,Depository Institutions (Banks),1.4164,1.2254,1.2671,0.4684,0.3188,62.51,0.191,False,False,28,18
0000311094,WESTAMERICA BANCORPORATION,2018,6021,Depository Institutions (Banks),1.8829,1.1459,1.1929,0.4616,1.4947,93.25,0.737,False,False,28,27
0000311094,WESTAMERICA BANCORPORATION,2019,6021,Depository Institutions (Banks),1.8633,1.1102,1.1872,0.4375,1.5453,93.89,0.7532,False,False,28,27
0000311094,WESTAMERICA BANCORPORATION,2020,6021,Depository Institutions (Banks),1.0944,1.1194,1.2621,0.4954,-0.3386,36.75,-0.025,False,False,28,14
0000311094,WESTAMERICA BANCORPORATION,2021,6021,Depository Institutions (Banks),1.1981,1.2003,1.2948,0.4619,-0.2093,41.71,-0.0022,False,False,28,14
0000311094,WESTAMERICA BANCORPORATION,2022,6021,Depository Institutions (Banks),1.3662,1.2701,1.2824,0.4081,0.2053,58.13,0.0961,False,False,28,20
0000311094,WESTAMERICA BANCORPORATION,2023,6021,Depository Institutions (Banks),1.6824,1.2453,1.2749,0.4176,0.9757,83.54,0.4371,False,False,28,25
0000311094,WESTAMERICA BANCORPORATION,2024,6021,Depository Institutions (Banks),1.5344,1.2788,1.259,0.433,0.6359,73.76,0.2556,False,False,28,21
0000107687,WINNEBAGO INDUSTRIES INC,2014,3716,Transportation Equipment,1.338,1.2476,1.3082,0.4125,0.0721,52.88,0.0904,False,False,15,10
0000107687,WINNEBAGO INDUSTRIES INC,2015,3716,Transportation Equipment,1.5573,1.2333,1.3462,0.4697,0.4494,67.34,0.324,False,False,15,11
0000107687,WINNEBAGO INDUSTRIES INC,2016,3716,Transportation Equipment,1.5546,1.1557,1.2632,0.4318,0.6748,75.01,0.3989,False,False,15,11
0000107687,WINNEBAGO INDUSTRIES INC,2017,3716,Transportation Equipment,1.255,1.2318,1.21,0.4559,0.0988,53.93,0.0232,False,False,16,9
0000107687,WINNEBAGO INDUSTRIES INC,2018,3716,Transportation Equipment,1.1256,1.2809,1.2502,0.4894,-0.2546,39.95,-0.1553,False,False,16,6
0000107687,WINNEBAGO INDUSTRIES INC,2019,3716,Transportation Equipment,1.6551,1.2311,1.3009,0.4892,0.7241,76.55,0.424,False,False,16,10
0000107687,WINNEBAGO INDUSTRIES INC,2020,3716,Transportation Equipment,1.497,1.2754,1.3659,0.4555,0.2879,61.33,0.2216,False,False,16,11
0000107687,WINNEBAGO INDUSTRIES INC,2021,3716,Transportation Equipment,1.1564,1.2763,1.3516,0.4339,-0.4499,32.64,-0.1199,False,False,16,7
0000107687,WINNEBAGO INDUSTRIES INC,2022,3716,Transportation Equipment,1.0367,1.3186,1.4005,0.4197,-0.8669,19.3,-0.2819,False,False,16,5
0000107687,WINNEBAGO INDUSTRIES INC,2023,3716,Transportation Equipment,1.4653,1.3136,1.36,0.3727,0.2825,61.12,0.1517,False,False,16,11
0000107687,WINNEBAGO INDUSTRIES INC,2024,3716,Transportation Equipment,1.6359,1.5002,1.4398,0.3977,0.493,68.9,0.1357,False,False,16,13
0001374310,"Cboe Global Markets, Inc.",2014,6200,Security & Commodity Brokers,1.789,1.3472,1.4754,0.424,0.7396,77.02,0.4418,False,False,9,6
0001374310,"Cboe Global Markets, Inc.",2015,6200,Security & Commodity Brokers,1.1139,1.2322,1.4415,0.5555,-0.5897,27.77,-0.1183,False,False,11,5
0001374310,"Cboe Global Markets, Inc.",2016,6200,Security & Commodity Brokers,1.4381,1.2817,1.3073,0.3449,0.3794,64.78,0.1564,False,False,11,8
0001374310,"Cboe Global Markets, Inc.",2017,6200,Security & Commodity Brokers,1.1376,1.235,1.2833,0.3377,-0.4313,33.31,-0.0974,False,False,12,6
0001374310,"Cboe Global Markets, Inc.",2018,6200,Security & Commodity Brokers,0.7343,1.1867,1.2367,0.3883,-1.2938,9.79,-0.4524,False,False,13,2
0001374310,"Cboe Global Markets, Inc.",2019,6200,Security & Commodity Brokers,0.9279,1.3437,1.287,0.3117,-1.152,12.47,-0.4158,False,False,13,4
0001374310,"Cboe Global Markets, Inc.",2020,6200,Security & Commodity Brokers,1.324,1.2248,1.2221,0.3722,0.2737,60.78,0.0992,False,False,13,8
0001374310,"Cboe Global Markets, Inc.",2021,6200,Security & Commodity Brokers,1.9056,1.4508,1.5132,0.3336,1.1763,88.03,0.4548,False,False,14,12
0001374310,"Cboe Global Markets, Inc.",2022,6200,Security & Commodity Brokers,1.1506,1.4068,1.3512,0.3393,-0.5911,27.72,-0.2562,False,False,14,6
0001374310,"Cboe Global Markets, Inc.",2023,6200,Security & Commodity Brokers,0.9781,1.3346,1.1784,0.289,-0.6933,24.41,-0.3565,False,False,14,6
0001374310,"Cboe Global Markets, Inc.",2024,6200,Security & Commodity Brokers,0.7763,1.0825,1.0824,0.2948,-1.0382,14.96,-0.3062,False,False,14,2
0000896622,"APTARGROUP, INC.",2014,3089,Rubber & Miscellaneous Plastics,1.3838,1.1802,1.1091,0.2883,0.9528,82.97,0.2036,False,False,4,4
0000896622,"APTARGROUP, INC.",2015,3089,Rubber & Miscellaneous Plastics,1.0245,1.0454,1.0466,0.2433,-0.0907,46.38,-0.021,False,False,4,2
0000896622,"APTARGROUP, INC.",2016,3089,Rubber & Miscellaneous Plastics,0.9102,0.9111,0.9654,0.2736,-0.2018,42.0,-0.0009,False,False,4,2
0000896622,"APTARGROUP, INC.",2017,3089,Rubber & Miscellaneous Plastics,1.3914,0.7373,0.8624,0.3121,1.6952,95.5,0.6541,False,False,4,4
0000896622,"APTARGROUP, INC.",2018,3089,Rubber & Miscellaneous Plastics,1.4711,0.9886,1.047,0.2815,1.5065,93.4,0.4825,False,False,4,4
0000896622,"APTARGROUP, INC.",2019,3089,Rubber & Miscellaneous Plastics,1.7682,1.2441,1.2153,0.4192,1.319,90.64,0.5241,False,False,4,4
0000896622,"APTARGROUP, INC.",2020,3089,Rubber & Miscellaneous Plastics,1.6474,1.5753,1.4471,0.3551,0.564,71.36,0.0721,False,False,4,3
