cik,company_name,year,sic_code,sector_name,company_MAD,sector_median_MAD,sector_mean_MAD,sector_std_MAD,z_score_vs_sector,percentile_in_sector,deviation_from_median,is_outlier,is_extreme_outlier,sector_company_count,sector_rank,deviation_direction
0001707925,LINDE PLC,2017,2810,Chemicals & Allied Products,6.5648,1.425,1.5316,1.0874,4.6285,100.0,5.1398,True,True,31,31,worse_than_peers
0001809987,"Mirion Technologies, Inc.",2020,3829,Measuring & Analyzing Instruments,7.2283,1.5232,1.7999,1.3383,4.0562,100.0,5.7051,True,True,20,20,worse_than_peers
0001661181,Organogenesis Holdings Inc.,2016,2834,Chemicals & Allied Products,4.3012,1.34,1.4692,0.7809,3.6267,99.99,2.9612,True,True,28,28,worse_than_peers
0001296445,"ORMAT TECHNOLOGIES, INC.",2014,4911,"Electric, Gas & Sanitary Services",2.1544,0.8028,0.8617,0.3582,3.6089,99.98,1.3516,True,True,20,20,worse_than_peers
0001623925,Antero Midstream Corp,2017,4922,"Electric, Gas & Sanitary Services",2.7096,1.0483,0.9979,0.4896,3.496,99.98,1.6613,True,True,21,21,worse_than_peers
0001326732,Xencor Inc,2014,2834,Chemicals & Allied Products,3.6966,1.4375,1.549,0.6206,3.4606,99.97,2.2592,True,True,24,24,worse_than_peers
0001490906,"Capitol Federal Financial, Inc.",2020,6035,Depository Institutions (Banks),2.92,1.1194,1.2621,0.4954,3.3467,99.96,1.8006,True,True,28,28,worse_than_peers
0001873923,Orion Properties Inc.,2023,6798,Holding & Investment Offices,3.6408,1.3933,1.527,0.635,3.3286,99.96,2.2474,True,True,38,38,worse_than_peers
0000315213,ROBERT HALF INC.,2020,7363,Business Services,3.173,1.2848,1.4696,0.5263,3.2366,99.94,1.8882,True,True,41,41,worse_than_peers
0001705696,VICI PROPERTIES INC.,2017,6798,Holding & Investment Offices,3.1856,1.266,1.3465,0.5684,3.2354,99.94,1.9196,True,True,35,35,worse_than_peers
0001296445,"ORMAT TECHNOLOGIES, INC.",2015,4911,"Electric, Gas & Sanitary Services",2.0602,0.9302,0.9394,0.3465,3.2346,99.94,1.13,True,True,20,20,worse_than_peers
0001490906,"Capitol Federal Financial, Inc.",2023,6035,Depository Institutions (Banks),2.6133,1.2453,1.2749,0.4176,3.2046,99.93,1.368,True,True,28,28,worse_than_peers
0001451809,SITIME Corp,2023,3674,Electronic & Electrical Equipment,3.1125,1.223,1.4116,0.5561,3.0584,99.89,1.8895,True,True,15,15,worse_than_peers
0001360604,Healthcare Realty Trust Inc,2021,6798,Holding & Investment Offices,3.1859,1.6365,1.6225,0.5162,3.0288,99.88,1.5494,True,True,38,38,worse_than_peers
0001600033,"e.l.f. Beauty, Inc.",2022,2844,Chemicals & Allied Products,3.5444,1.5209,1.5771,0.6583,2.9883,99.86,2.0235,True,False,33,33,worse_than_peers
0000315213,ROBERT HALF INC.,2018,7363,Business Services,2.6703,1.2725,1.3518,0.4458,2.9579,99.85,1.3978,True,False,37,37,worse_than_peers
0001591698,Paylocity Holding Corp,2016,7372,Business Services,2.6466,1.2126,1.353,0.4438,2.9148,99.82,1.434,True,False,34,34,worse_than_peers
0000936528,WAFD INC,2019,6021,Depository Institutions (Banks),2.4458,1.1102,1.1872,0.4375,2.8767,99.8,1.3357,True,False,28,28,worse_than_peers
