sector_name,avg_median_MAD,std_median_MAD,min_median_MAD,max_median_MAD,avg_companies,total_observations,years_covered
Wholesale Trade - Durable Goods,1.8659090909090907,0.22173783824392923,1.6282,2.335,3.0,33,11
Building Materials & Hardware,1.7969000000000002,0.2629759608785563,1.5335,2.4033,3.0,33,11
Transportation Services,1.7153,0.15120833310370163,1.6277,1.8899,3.0,9,3
Water Transportation,1.6845363636363637,0.3160265282305499,1.125,2.0553,3.0,33,11
Real Estate,1.6505,0.17167446769145056,1.4443,1.9933,3.0,24,8
Wholesale Trade - Nondurable Goods,1.6059181818181818,0.23679465711110034,1.2883,1.9334,4.7272727272727275,52,11
Communications,1.565090909090909,0.2285931394619945,1.26235,1.9297,6.909090909090909,76,11
Measuring & Analyzing Instruments,1.5409181818181816,0.11890450427281397,1.3692,1.7644,19.272727272727273,212,11
Non-Depository Credit Institutions,1.446568181818182,0.2989068059385126,1.0003,1.8271,3.3636363636363638,37,11
Chemicals & Allied Products,1.4426454545454546,0.11526524943482626,1.2714,1.6192,30.545454545454547,336,11
Electronic & Electrical Equipment,1.4407318181818183,0.15799394493575905,1.2229,1.6647,14.545454545454545,160,11
Holding & Investment Offices,1.4295545454545453,0.12647635046629363,1.2438500000000001,1.6364999999999998,36.09090909090909,397,11
Business Services,1.4272318181818182,0.1387021507993429,1.21255,1.6255000000000002,38.72727272727273,426,11
Eating & Drinking Places,1.404940909090909,0.1515601676202917,1.2255,1.6944,10.909090909090908,120,11
Building Construction,1.4045545454545456,0.26235352623373054,1.0017,1.8267,5.0,55,11
Oil & Gas Extraction,1.3905318181818183,0.20761743336329838,1.0854499999999998,1.8534,7.363636363636363,81,11
Fabricated Metal Products,1.3863454545454545,0.09739397428626026,1.2043,1.4973,11.727272727272727,129,11
Health Services,1.3688318181818182,0.24821571996222092,1.00535,1.70815,6.818181818181818,75,11
Insurance Agents & Brokers,1.36865,0.11182203867455354,1.26465,1.4854,4.0,16,4
Industrial Machinery & Equipment,1.3131000000000002,0.12382819751575164,1.1132,1.4824,25.545454545454547,281,11
Furniture & Fixtures,1.3007272727272727,0.2323150052876872,0.9023,1.74975,5.181818181818182,57,11
Hotels & Lodging Places,1.295725,0.4010426152988162,0.7342,1.738,3.0,24,8
Security & Commodity Brokers,1.2841954545454544,0.10569677727950233,1.0825,1.45085,12.545454545454545,138,11
Heavy Construction,1.2840545454545456,0.3532646412072298,0.8107,1.7846,3.0,33,11
Transportation Equipment,1.2785954545454545,0.08631437729180885,1.1557,1.50015,15.727272727272727,173,11
Apparel & Other Finished Products,1.2785090909090908,0.11282020612058333,1.0745,1.4501,5.0,55,11
Primary Metal Industries,1.2632409090909091,0.19791938866389758,0.9798,1.603,6.818181818181818,75,11
Transportation by Air,1.234022727272727,0.23717736334190537,0.95595,1.7819500000000001,4.0,44,11
Miscellaneous Retail,1.2093454545454545,0.30214617526500764,0.829,1.83155,3.4545454545454546,38,11
Depository Institutions (Banks),1.2000772727272726,0.07133519945873973,1.11015,1.3085499999999999,28.0,308,11
Amusement & Recreation Services,1.1869666666666665,0.2496457223079673,0.8076,1.4965,3.1666666666666665,19,6
Food & Kindred Products,1.1826227272727272,0.14959946250511127,0.9008499999999999,1.3735499999999998,9.363636363636363,103,11
Rubber & Miscellaneous Plastics,1.1762863636363636,0.2963439860119563,0.7373000000000001,1.76845,4.0,44,11
Insurance Carriers,1.0402681818181818,0.11603764749581766,0.83475,1.2386,8.636363636363637,95,11
"Electric, Gas & Sanitary Services",1.0277636363636364,0.11577264376982382,0.8027500000000001,1.1618,20.90909090909091,230,11
