symbol,year_2014_stock_annual_return,year_2014_stock_volatility,year_2014_stock_max_drawdown,year_2014_stock_sharpe_ratio,year_2014_stock_avg_volume,year_2014_stock_trading_days,year_2014_stock_volume_benford_MAD,year_2014_stock_volume_benford_chi_square,year_2014_stock_volume_benford_p_value,year_2015_stock_annual_return,year_2015_stock_volatility,year_2015_stock_max_drawdown,year_2015_stock_sharpe_ratio,year_2015_stock_avg_volume,year_2015_stock_trading_days,year_2015_stock_volume_benford_MAD,year_2015_stock_volume_benford_chi_square,year_2015_stock_volume_benford_p_value,year_2016_stock_annual_return,year_2016_stock_volatility,year_2016_stock_max_drawdown,year_2016_stock_sharpe_ratio,year_2016_stock_avg_volume,year_2016_stock_trading_days,year_2016_stock_volume_benford_MAD,year_2016_stock_volume_benford_chi_square,year_2016_stock_volume_benford_p_value,year_2017_stock_annual_return,year_2017_stock_volatility,year_2017_stock_max_drawdown,year_2017_stock_sharpe_ratio,year_2017_stock_avg_volume,year_2017_stock_trading_days,year_2017_stock_volume_benford_MAD,year_2017_stock_volume_benford_chi_square,year_2017_stock_volume_benford_p_value,year_2018_stock_annual_return,year_2018_stock_volatility,year_2018_stock_max_drawdown,year_2018_stock_sharpe_ratio,year_2018_stock_avg_volume,year_2018_stock_trading_days,year_2018_stock_volume_benford_MAD,year_2018_stock_volume_benford_chi_square,year_2018_stock_volume_benford_p_value,year_2019_stock_annual_return,year_2019_stock_volatility,year_2019_stock_max_drawdown,year_2019_stock_sharpe_ratio,year_2019_stock_avg_volume,year_2019_stock_trading_days,year_2019_stock_volume_benford_MAD,year_2019_stock_volume_benford_chi_square,year_2019_stock_volume_benford_p_value,year_2020_stock_annual_return,year_2020_stock_volatility,year_2020_stock_max_drawdown,year_2020_stock_sharpe_ratio,year_2020_stock_avg_volume,year_2020_stock_trading_days,year_2020_stock_volume_benford_MAD,year_2020_stock_volume_benford_chi_square,year_2020_stock_volume_benford_p_value,year_2021_stock_annual_return,year_2021_stock_volatility,year_2021_stock_max_drawdown,year_2021_stock_sharpe_ratio,year_2021_stock_avg_volume,year_2021_stock_trading_days,year_2021_stock_volume_benford_MAD,year_2021_stock_volume_benford_chi_square,year_2021_stock_volume_benford_p_value,year_2022_stock_annual_return,year_2022_stock_volatility,year_2022_stock_max_drawdown,year_2022_stock_sharpe_ratio,year_2022_stock_avg_volume,year_2022_stock_trading_days,year_2022_stock_volume_benford_MAD,year_2022_stock_volume_benford_chi_square,year_2022_stock_volume_benford_p_value,year_2023_stock_annual_return,year_2023_stock_volatility,year_2023_stock_max_drawdown,year_2023_stock_sharpe_ratio,year_2023_stock_avg_volume,year_2023_stock_trading_days,year_2023_stock_volume_benford_MAD,year_2023_stock_volume_benford_chi_square,year_2023_stock_volume_benford_p_value,year_2024_stock_annual_return,year_2024_stock_volatility,year_2024_stock_max_drawdown,year_2024_stock_sharpe_ratio,year_2024_stock_avg_volume,year_2024_stock_trading_days,year_2024_stock_volume_benford_MAD,year_2024_stock_volume_benford_chi_square,year_2024_stock_volume_benford_p_value
LNC,15.575477702878327,23.775813230595453,-16.29440146410448,0.5709784801560008,1907853.5714285714,252,8.8774,170.8796,0.0,-11.168847645307837,26.654708332653243,-25.01494536478979,-0.49405333875574226,2014096.8253968253,252,8.4365,151.6161,0.0,38.21266806811432,38.16758285182033,-37.02710358840407,0.9487807548281049,2278627.380952381,252,6.8051,111.0212,0.0,16.849144274407244,20.249216306678257,-13.327865520057248,0.7333194554057852,1463013.9442231075,251,9.6704,234.3358,0.0,-32.886715938798346,28.2363640690799,-42.367497860497934,-1.2355243703986973,1692017.9282868525,251,7.8217,163.6334,0.0,17.45016295141795,29.822884537767745,-23.127529761881753,0.5180640032271809,1539758.7301587302,252,8.6139,196.0253,0.0,-12.184035569148769,96.06630402121034,-72.11050522516176,-0.14764839465476984,2271667.984189723,253,6.2532,93.6131,0.0,43.74237096529844,36.65682063970813,-19.29456453937556,1.1387340810479738,1422873.0158730159,252,9.2443,196.4013,0.0,-54.495875418666074,56.75501703198221,-59.76112444336831,-0.9954340316175025,1899020.717131474,251,7.0697,132.017,0.0,-5.858574167690791,44.4989823429183,-45.907898459784604,-0.17660121094749995,3022786.0,250,6.1,118.5241,0.0,23.184772846699683,34.92468112326612,-17.073843168829487,0.6065845747289247,1587847.619047619,252,8.0979,167.8044,0.0
WABC,-8.761974606223937,19.23860619385074,-17.827755138827193,-0.559394713826192,181427.77777777778,252,7.9656,140.7144,0.0,-0.1557126668391627,23.371517027170334,-16.57598146341245,-0.09223674545101455,162734.12698412698,252,8.4947,186.0523,0.0,43.88245482853162,24.49625550723142,-10.251361740549513,1.709749264174996,153502.38095238095,252,6.1917,84.8161,0.0,-3.007393130695239,22.94779531115508,-20.53850009734414,-0.2182080266447693,104227.49003984063,251,6.8041,148.1964,0.0,-3.615188536109347,23.359812977663857,-17.68549285351957,-0.24037814606985372,96306.77290836653,251,6.2483,138.0085,0.0,22.369451088839632,18.399057623034544,-8.191897979044718,1.1070920862456712,90245.63492063493,252,7.7843,173.8997,0.0,-15.971242537479577,45.42600194711442,-29.904905138449507,-0.39561576557853245,126981.81818181818,253,6.395,98.2105,0.0,5.952599132985683,24.36066085988255,-17.542432212657516,0.1622533623254398,93203.96825396825,252,7.7843,178.4521,0.0,3.8469946043156034,22.035018627003033,-15.59270731604195,0.08382087782999127,123316.73306772909,251,8.4863,167.7781,0.0,0.3248055721246616,29.258471622034403,-35.64197913664885,-0.05725502170843942,167676.0,250,5.8333,87.7929,0.0,-3.44049355088304,29.552137210688823,-20.10071479340727,-0.18409814194132962,128086.50793650794,252,7.3381,136.6333,0.0
WGO,-19.054054518431972,31.308076594757427,-28.997550194472417,-0.6724799734889334,296357.5396825397,252,4.0714,44.0008,0.0,-7.13603578009648,37.71923393222109,-25.257928133957407,-0.24221159413028695,412298.4126984127,252,6.312,95.394,0.0,67.47955444622853,40.49095396369979,-14.919358998786711,1.6171403248471514,288081.74603174604,252,4.5123,51.74,0.0,71.53348022007039,37.821642602629126,-29.022010238071122,1.8384574395834636,517396.4143426295,251,4.2789,53.5204,0.0,-55.92256595077302,50.40080964381398,-64.71276257735329,-1.149238799140645,735741.4342629482,251,5.7417,83.213,0.0,115.41008886212856,40.4835892549285,-23.597998460731755,2.8013842386349657,571835.7142857143,252,6.6259,113.1389,0.0,14.579222610621636,78.69084265761377,-67.12481600021422,0.15985624484101937,780191.699604743,253,7.1526,128.7445,0.0,23.419956664982077,40.73742618684825,-28.320389845316868,0.5258053507537828,617366.2698412698,252,7.4665,136.7954,0.0,-29.3701651664423,50.799589900187314,-42.50643405837678,-0.617527921545812,676743.0278884462,251,7.3061,141.8216,0.0,41.379528001507296,35.27775549443366,-19.924039268464366,1.1162707901788378,471197.6,250,7.4556,151.3058,0.0,-33.32256642027643,35.820257093234346,-36.89361239968208,-0.9861058877477482,604319.0476190476,252,8.0707,149.0618,0.0
CBOE,26.19879697655107,22.0331752874489,-19.9348978068767,1.0982891326760247,661592.4603174604,252,7.7892,168.3288,0.0,3.8627412624842363,18.949192060974802,-17.108469842214586,0.09830188308241844,634847.2222222222,252,7.7011,150.8951,0.0,17.16070492934792,18.610802030026647,-11.57894171289773,0.814618569628953,623426.5873015873,252,5.0753,69.1053,0.0,72.54005386241853,13.909694260024175,-3.570551881441624,5.071287157270409,1108847.4103585656,251,7.3505,191.9112,0.0,-19.408068563382564,26.217067884136412,-32.74084839143305,-0.8165699024007291,1095220.717131474,251,6.6422,130.0736,0.0,26.668217208995877,19.072246577089274,-8.645209368932182,1.2934090962639302,692813.8888888889,252,9.1561,248.3108,0.0,-20.85656749551775,43.35481653951285,-40.533185348320906,-0.5271978829546345,886444.2687747036,253,6.761,156.624,0.0,43.01484324999132,26.42539257459604,-12.888550229682247,1.5520996758784504,611796.4285714285,252,8.9656,188.7273,0.0,-0.6846071213283229,25.493590700287477,-18.051620903452175,-0.10530517857957335,659794.422310757,251,9.4309,237.6841,0.0,43.38261343010214,17.725099165104535,-8.158538431390737,2.3346900936708006,701225.6,250,8.4333,204.1327,0.0,10.967227696063569,21.078644259401777,-14.478748098903873,0.42541766850417273,835219.4444444445,252,9.1952,226.3926,0.0
ATR,1.2742991099516623,15.341887636743323,-16.651018104034076,-0.04730192967326313,257433.73015873015,252,5.8351,82.7438,0.0,10.922879509607004,16.760947973672554,-8.474828787726754,0.5323612676098461,311809.92063492065,252,6.1748,106.0318,0.0,3.5758165135795035,19.095244576301788,-11.667706148972297,0.08252402881161185,280763.8888888889,252,5.7339,96.6359,0.0,20.023088674581118,13.046222649553101,-9.845301617334314,1.3814794641112844,277836.65338645416,251,6.1773,132.9648,0.0,9.619737642019196,20.317612915916218,-19.61638353169646,0.3750311453197397,296231.47410358564,251,7.1692,150.4874,0.0,29.843043904990303,15.376328067844389,-13.544858552858019,1.8107732731858668,244295.6349206349,252,6.8051,124.0741,0.0,21.91647536592823,33.50928949610737,-28.79443281488631,0.5943568385191169,282747.43083003955,253,4.7185,89.5347,0.0,-7.584991328955326,21.251173962964316,-27.42860313550511,-0.45103349799214204,242953.57142857142,252,7.3783,133.6409,0.0,-7.680271822562222,26.63339291806436,-23.732690117670668,-0.36346371085136825,262931.47410358564,251,6.797,148.3488,0.0,13.605058348849283,17.98621700994246,-8.570992207480737,0.6452195223950768,266433.6,250,6.2556,122.2017,0.0,29.37226883374466,16.575692723792972,-11.02469240284692,1.6513499188154068,288802.38095238095,252,6.8802,143.1921,0.0
PCTY,8.610647321095609,51.47242818464473,-40.407536087644466,0.12843084257423276,243833.5,200,4.6556,45.8831,0.0,57.96649441582266,46.011685521786575,-22.59269362894709,1.2163539279455968,225976.9841269841,252,7.1138,112.866,0.0,-22.1732386927025,44.7140134457567,-36.51364514858395,-0.540618853685041,350402.77777777775,252,3.8069,46.3913,0.0,56.729809266405454,33.571128684037774,-16.195471916478628,1.630264200572681,290944.22310756973,251,5.2034,82.3764,0.0,26.147076601567456,39.48479558895232,-35.972746426880924,0.6115537953632892,275245.81673306774,251,5.2522,99.348,0.0,102.88833122206438,37.33840808149203,-15.070717084035993,2.7019987301513506,330781.74603174604,252,8.252,175.6072,0.0,62.41521189834115,58.74879433438598,-50.574252565368724,1.0283651363885065,472673.5177865613,253,6.8723,107.7557,0.0,18.655481641230224,38.5461319786314,-28.97792513606397,0.4320921655761317,256875.0,252,6.3642,95.4339,0.0,-16.20584351787125,55.72204046607627,-33.442608017488865,-0.32672607402011805,350857.76892430277,251,6.0334,89.8082,0.0,-14.376976497834857,39.99411139006642,-39.07424116041489,-0.409484694836913,455713.6,250,7.1,112.103,0.0,22.524568477610586,32.868787183209,-25.672243893581236,0.6244394830636023,483483.3333333333,252,6.4965,126.7604,0.0
SCOR,64.17963501924616,30.242368186832085,-16.656751328585713,2.0560438466693878,11807.65873015873,252,6.8192,117.6847,0.0,-9.778558541258448,45.42963641789809,-42.001859570423555,-0.25927036775971213,17313.194444444445,252,6.9854,115.2559,0.0,-22.101629860012842,57.036992464996985,-44.84763678303123,-0.4225613732141253,31143.4126984127,252,4.9533,70.3497,0.0,-10.349164683280044,35.97297010838806,-36.989569628469646,-0.3432901049335514,18814.42231075697,251,1.9444,11.3255,0.1839,-49.225898362509724,38.50865815292844,-54.67354161632839,-1.3302436599862202,8101.653386454183,251,2.3301,17.8071,0.0227,-66.75639333993931,92.60361788690967,-93.62618415794648,-0.7424806385416464,33473.25396825397,252,2.8369,25.5066,0.0013,-48.8706381346115,96.73829624714871,-65.68265660581332,-0.5258583219684404,21250.395256916996,253,3.4965,31.1823,0.0001,39.74896258986984,62.88893586746098,-38.21782027140702,0.6002480733562757,30883.789682539682,252,3.4139,40.676,0.0,-65.7817113293803,62.914505734055204,-70.77364079281865,-1.0773622162097112,18985.019920318726,251,4.1872,43.4498,0.0,-29.831927318153937,75.00639673097481,-65.27777685795299,-0.42438950150245724,14693.66,250,2.7,16.6432,0.034,-67.4470458264417,76.9318221253441,-75.92233035777693,-0.9027089689009635,21234.52380952381,252,2.3219,16.1134,0.0408
DRH,33.338477161313605,19.50540793364205,-8.285917457586857,1.6066558191414397,1570201.5873015872,252,8.9667,200.7403,0.0,-32.713583074242365,25.270682103143553,-37.00846327191941,-1.3736702053611825,2050186.507936508,252,7.2901,116.9943,0.0,27.259758495636042,32.866962108922166,-19.398336425935526,0.7685455811804083,2673964.285714286,252,6.3511,141.8241,0.0,1.2921324880116005,20.73470506587764,-11.409398053375499,-0.03413926119225644,2230674.501992032,251,7.3282,129.0607,0.0,-17.424437533993,22.175856896723566,-30.836089316242504,-0.8759272583898625,2357354.980079681,251,6.62,105.1933,0.0,31.358279617011487,19.641861105608175,-15.777687191163164,1.4946791171753608,2308255.1587301586,252,5.791,80.3734,0.0,-25.136122016407903,116.88159921699103,-80.49002026708783,-0.23216761404872305,3253676.6798418975,253,2.9009,28.2603,0.0004,19.82544212594123,42.70308965067367,-28.721525774206086,0.4174274571643324,1984942.4603174604,252,7.2901,119.3984,0.0,-14.420595135672265,43.06896394050044,-34.025271845739184,-0.38126283135942707,2025966.1354581674,251,8.3353,156.356,0.0,19.85812850363696,29.363299058750997,-26.45289006509613,0.60817854519364,2180409.2,250,7.3444,119.5116,0.0,-0.2427389904263716,24.384912861237783,-20.275258101547877,-0.09197240126256205,1973993.650793651,252,7.3483,123.2546,0.0
UBSI,25.379652003400356,20.446080606344857,-9.841744250654328,1.1434784227616293,278611.1111111111,252,6.5406,103.9506,0.0,3.405156613734784,23.604194241654056,-16.337431811127846,0.05952995469148953,400489.68253968254,252,8.8693,186.6117,0.0,33.104953160598804,25.388906006991295,-12.77172079312105,1.2251395610363633,415456.34920634923,252,6.8492,112.665,0.0,-21.881430954868407,24.344745606453955,-30.253014275168855,-0.9809685975333123,764698.0079681275,251,8.8997,208.3008,0.0,-7.34618159034449,23.70583643868255,-25.101996752047206,-0.3942565627042648,556672.5099601593,251,8.8098,195.1942,0.0,26.00912279553037,21.88381685749561,-11.197370466954117,1.0971176989770322,428239.28571428574,252,8.3483,193.8055,0.0,-11.77521327738683,62.36473886225218,-45.74011701383859,-0.22088143923464135,705105.5335968379,253,6.0775,89.3611,0.0,16.769195429650303,31.826751285069754,-22.551976291205165,0.46404973279753753,519230.95238095237,252,8.6541,206.3677,0.0,13.987505877087964,26.316774183945356,-14.718860552908037,0.4555081786733947,682386.0557768925,251,10.4934,279.8886,0.0,-2.3274218938871263,34.138660784508765,-36.532070417927535,-0.1267601538678634,814041.2,250,6.9,122.4774,0.0,3.6765161570698783,30.240384485085087,-16.840551102291236,0.05543964422465448,524826.5873015873,252,9.3596,230.2148,0.0
CWEN,,,,,,0,,,,-37.59781592033457,56.91031738839113,-57.25454575399712,-0.6957932715450282,1225503.75,160,4.6389,36.5982,0.0,13.381356874270335,37.892094172559744,-26.51820294988057,0.30036230836015265,623701.1904761905,252,7.9074,162.1162,0.0,27.73226199067919,20.606299958968776,-6.989854384670187,1.2487570326510444,541511.952191235,251,7.0391,137.3449,0.0,-4.6357616389942,26.25817213430985,-19.282570833713464,-0.25271224535555853,613104.3824701195,251,6.9012,113.3473,0.0,21.724948671054396,31.870386380629874,-23.993175448547845,0.6189115009613686,750420.2380952381,252,5.5265,73.7162,0.0,66.21080366412995,44.77867636934908,-27.408981258263466,1.4339593947462488,713498.023715415,253,6.7464,128.5443,0.0,12.411018347507982,28.67934987621937,-30.63588117197259,0.3630144474139804,780198.0158730159,252,7.3342,138.8333,0.0,-7.708212775223215,31.87209044009679,-24.824099108142715,-0.3045991850917242,642818.326693227,251,9.1216,227.4709,0.0,-9.383826985945145,31.955464213839193,-43.41412860797166,-0.3562403884909006,1069246.8,250,6.8111,164.1413,0.0,1.753992779281106,30.712863322491597,-21.915551519397603,-0.008009908361059205,858633.7301587302,252,8.0489,200.5484,0.0
